,Unnamed: 0,Unnamed: 0.1,num_not_judged,prob_not_judged,n,N,n/N
270,270,270.0,0,0.0,0.0,1.0,0.0
271,271,271.0,0,0.0,0.0,1.0,0.0
272,272,272.0,0,0.0,0.0,1.0,0.0
273,273,273.0,0,0.0,0.0,1.0,0.0
274,274,274.0,0,0.0,0.0,0.0,0.0
275,275,275.0,0,0.0,0.0,0.0,0.0
276,276,276.0,0,0.0,1.0,2.0,0.5
277,277,277.0,0,0.0,1.0,2.0,0.5
278,278,278.0,0,0.0,1.0,1.0,1.0
279,279,279.0,0,0.0,1.0,1.0,1.0
280,280,280.0,0,0.0,0.0,1.0,0.0
281,281,281.0,0,0.0,0.0,1.0,0.0
282,282,282.0,0,0.0,1.0,2.0,0.5
283,283,283.0,0,0.0,0.0,2.0,0.0
284,284,284.0,0,0.0,0.0,0.0,0.0
285,285,285.0,0,0.0,1.0,1.0,1.0
286,286,286.0,0,0.0,0.0,0.0,0.0
287,287,287.0,0,0.0,0.0,0.0,0.0
288,288,288.0,0,0.0,1.0,2.0,0.5
289,289,289.0,0,0.0,1.0,2.0,0.5
290,290,290.0,0,0.0,0.0,0.0,0.0
291,291,291.0,0,0.0,0.0,0.0,0.0
292,292,292.0,0,0.0,1.0,1.0,1.0
293,293,293.0,0,0.0,1.0,1.0,1.0
294,294,294.0,0,0.0,0.0,0.0,0.0
295,295,295.0,0,0.0,0.0,0.0,0.0
296,296,296.0,0,0.0,0.0,0.0,0.0
297,297,297.0,0,0.0,0.0,0.0,0.0
298,298,298.0,0,0.0,0.0,0.0,0.0
299,299,299.0,0,0.0,0.0,0.0,0.0
300,300,300.0,0,0.0,1.0,1.0,1.0
301,301,301.0,0,0.0,0.0,0.0,0.0
302,302,302.0,0,0.0,1.0,2.0,0.5
303,303,303.0,0,0.0,1.0,1.0,1.0
304,304,304.0,0,0.0,1.0,1.0,1.0
305,305,305.0,0,0.0,0.0,0.0,0.0
306,306,306.0,0,0.0,1.0,1.0,1.0
307,307,307.0,0,0.0,1.0,1.0,1.0
308,308,308.0,0,0.0,0.0,0.0,0.0
309,309,309.0,0,0.0,0.0,0.0,0.0
310,310,310.0,0,0.0,0.0,0.0,0.0
311,311,311.0,0,0.0,0.0,0.0,0.0
312,312,312.0,0,0.0,0.0,0.0,0.0
313,313,313.0,0,0.0,0.0,0.0,0.0
314,314,314.0,0,0.0,0.0,0.0,0.0
315,315,315.0,0,0.0,0.0,0.0,0.0
316,316,316.0,0,0.0,0.0,0.0,0.0
317,317,317.0,0,0.0,0.0,0.0,0.0
318,318,318.0,0,0.0,0.0,0.0,0.0
319,319,319.0,0,0.0,0.0,0.0,0.0
320,320,320.0,0,0.0,0.0,0.0,0.0
321,321,321.0,0,0.0,0.0,0.0,0.0
322,322,322.0,0,0.0,1.0,1.0,1.0
323,323,323.0,0,0.0,1.0,1.0,1.0
324,324,324.0,0,0.0,0.0,0.0,0.0
325,325,325.0,0,0.0,0.0,0.0,0.0
326,326,326.0,0,0.0,0.0,0.0,0.0
