,radius,time,grid_id,num of matched order,total wait time,total reward,driver utilization rate,driver delivery rate,driver pickup rate,total pick up distance,total reward,ratio
32,20,morning,7,212,7180.0,18221.612259899015,0.051359622069411394,0.0266538123279782,0.024705809741433195,3377.9759543266778,518.0403954897771,5.3942397773909185
33,20,morning,10,212,8800.0,11666.501650744112,0.03260078811209536,0.01706527068448906,0.0155355174276063,2124.140226841754,597.5077139812178,5.492340620134234
34,20,morning,1,772,30120.0,48782.8059631488,0.12136947550572605,0.07135744831073196,0.05001202719499409,6838.0444543171525,4268.012503223883,7.134028783967631
35,20,morning,3,304,18500.0,33989.33840666648,0.08703993744232391,0.049718182678992605,0.037321754763331313,5102.928885280764,11418.31563400581,6.660750947305506
36,20,morning,2,64,4020.0,3892.659507967808,0.011551268075241658,0.005694019524849053,0.005857248550392605,800.8498797980801,188.97603926111066,4.860660663330901
37,20,morning,9,176,7780.0,8227.512550908941,0.02747453186053261,0.012034861258716499,0.015439670601816113,2111.0352820451135,519.8973390870581,3.897382777486481
38,20,morning,14,12,280.0,928.6426507534077,0.0027616728122708107,0.0013583796307316826,0.001403293181539128,191.8694701254819,28.648203422669738,4.839970893472937
39,25,morning,6,741,33060.0,39434.935919025345,0.11689672122628508,0.05768377496785637,0.05921294625842871,8096.06771602244,2970.6202294007144,4.870875257253844
40,25,morning,5,1506,57195.0,87698.84503044942,0.2453853478949299,0.12828220266580295,0.11710314522912696,16011.278840888071,7262.834862755847,5.477316702928969
41,25,morning,10,138,5835.0,7797.740879178102,0.021826045587901476,0.01140620923172737,0.010419836356174106,1424.6833853069732,429.25108483001503,5.4733149551666465
42,25,morning,7,165,7800.0,14041.666036812285,0.03832928108951822,0.020539561811497693,0.01778971927802052,2432.3527374451896,8735.908140366044,5.772874065774228
43,25,morning,1,540,26010.0,35222.349926354575,0.09190912788717652,0.0515217803615274,0.040387347525649125,5522.081252486953,2718.1501990284255,6.378455570622336
44,25,morning,3,267,10110.0,30335.01182497306,0.08492345349483575,0.04437278659085636,0.0405506669039794,5544.411584447295,5972.609383719029,5.471277044089983
45,25,morning,9,108,4005.0,5411.587098508656,0.018192256818547328,0.007915843277907465,0.010276413540639864,1405.0734705846073,256.824934322509,3.851462013767197
46,25,morning,14,12,705.0,923.2218980794376,0.0025674326921227325,0.0013504503804333237,0.0012169823116894086,166.39555751266946,22.010192470076586,5.548356650141593
47,25,morning,2,48,3540.0,2960.4017989542654,0.008113346020245325,0.004330351938087685,0.0037829940821576405,517.2412148652498,106.67454371293076,5.723445297617091
48,30,morning,6,492,24070.0,26435.653323054456,0.07712520807418884,0.03866896805782935,0.038456240016359486,5258.0447849568,2104.433019653074,5.0276584556081625
